year,party_abbreviation,ac_name,matched_ac_name,dist_name,cand_name,total_valid_votes,position
2013,UDP,Mawphlang,Mawphlang,EAST KHASI HILLS,J. ANTONIUS LYNGDOH,5868,2
2013,NPP,Dadenggre,Dadenggre,WEST GARO HILLS,JAMES PANGSANG KONGKAL SANGMA,6725,1
2013,NCP,Raksamgre,Raksamgre,WEST GARO HILLS,JANATAN RABHA,1743,5
2013,UDP,Nongthymmai,Nongthymmai,EAST KHASI HILLS,JEMINO MAWTHOH,9347,1
2013,IND,Gambegre,Gambegre,WEST GARO HILLS,JHIM CARTER M. SANGMA,445,9
2013,IND,Tikrikilla,Tikrikilla,WEST GARO HILLS,JIMMY D. SANGMA,4158,3
2013,IND,Rangsakona,Rangsakona,WEST GARO HILLS,JINGJANG M. MARAK,886,4
2013,GNC,South Tura,South-Tura,WEST GARO HILLS,JIPSON R. MARAK,390,7
2013,IND,Umsning,Umsning,RI BHOI,JOBERWEL LAPANG,174,6
2013,IND,Mawshynrut,Mawshynrut,WEST KHASI HILLS,JOHN JUSTIC HASHAH,1129,7
2013,IND,South Tura,South-Tura,WEST GARO HILLS,JOHN LESLEE K SANGMA,7137,1
2013,NPP,Bajengdoba,Bajengdoba,NORTH GARO HILLS,JOHN MANNER MARAK,5126,3
2013,IND,WilliamNagar,William-Nagar,EAST GARO HILLS,JONATHONE N SANGMA,5525,2
2013,IND,Chokpot,Chokpot,SOUTH GARO HILLS,JONILSON CH. MARAK,2384,5
2013,UDP,Rambrai Jyrngam ,Rambrai-Jyrngam,WEST KHASI HILLS,JOVA MARAK,4236,3
2013,IND,Dalu,Dalu,WEST GARO HILLS,JOYFERRY N. SANGMA,762,7
2013,INC,Shella,Shella,EAST KHASI HILLS,JROPSINGH NONGKHLAW,2880,4
2013,IND,Mawhati,Mawhati,RI BHOI,JULIAS KITBOK DORPHANG,8246,1
2013,IND,Rongjeng,Rongjeng,EAST GARO HILLS,JULIUS L R MARAK,546,8
2013,IND,Khliehriat,Khliehriat,EAST JAINTIA HILLS,JUSTINE DKHAR,10807,1
2013,IND,Shella,Shella,EAST KHASI HILLS,K. MECHALDO ROY KHYLLEB,533,5
2013,IND,Tikrikilla,Tikrikilla,WEST GARO HILLS,KAPIN CH. BORO,3146,4
2013,IND,Salmanpara,Salmanpara,SOUTH WEST GARO HILLS,KENEDY MARAK,892,6
2013,INC,Dalu,Dalu,WEST GARO HILLS,KENETHSON R. SANGMA,3363,1
2013,INC,Mawphlang,Mawphlang,EAST KHASI HILLS,KENNEDY CORNELIUS KHYRIEM,9212,1
2013,IND,Ranikor,Ranikor,SOUTH WEST KHASI HILLS,KETSON CH. SANGMA,255,5
2013,UDP,Mawsynram,Mawsynram,EAST KHASI HILLS,KHRAW KUPAR JYRWA,6414,2
2013,IND,Rambrai Jyrngam ,Rambrai-Jyrngam,WEST KHASI HILLS,KIMFA SIDNEY MARBANIANG,5756,2
2013,INC,Rambrai Jyrngam ,Rambrai-Jyrngam,WEST KHASI HILLS,KINGFORD KHARSYNTIEW,3856,4
2013,IND,North Tura,North-Tura,WEST GARO HILLS,KISMET A. SANGMA,1161,6
2013,IND,Rongjeng,Rongjeng,EAST GARO HILLS,KLINGTONE M SANGMA,295,9
2013,IND,Phulbari,Phulbari,WEST GARO HILLS,KOBEJUDDIN SHEIKH,214,8
2013,UDP,Raliang,Raliang,WEST JAINTIA HILLS,KONSTAN SUNGOH,7850,2
2013,IND,North Tura,North-Tura,WEST GARO HILLS,KREDITHSON CH. MARAK,1375,5
2013,IND,South Tura,South-Tura,WEST GARO HILLS,KUNAL CH. MOMIN,1049,4
2013,IND,Dalu,Dalu,WEST GARO HILLS,KUROSH M. MARAK,2548,3
2013,LJP,Mawhati,Mawhati,RI BHOI,KYRSHANLANG NONGSHLI,233,5
2013,IND,Songsak,Songsak,EAST GARO HILLS,LAHITSON M SANGMA,2779,4
2013,INC,Amlarem,Amlarem,WEST JAINTIA HILLS,LAHKMEN RYMBUI,7163,2
2013,NCP,Selsella,Selsella,WEST GARO HILLS,LALTHANTLUANGA D. SHIRA,571,4
2013,NESDP,Jirang,Jirang,RI BHOI,LAMBOKLANG MYLLIEM,10336,1
2013,INC,Nongkrem,Nongkrem,EAST KHASI HILLS,LAMBOR MALNGIANG,6595,2
2013,INC,Baghmara,Baghmara,SOUTH GARO HILLS,LAZARUS SANGMA,3025,3
2013,IND,South Tura,South-Tura,WEST GARO HILLS,LELYNGGREAT K SANGMA,223,8
2013,IND,Shella,Shella,EAST KHASI HILLS,LESTON WANSWETT,5585,2
2013,INC,Raksamgre,Raksamgre,WEST GARO HILLS,LIMISON D. SANGMA,5761,1
2013,GNC,Baghmara,Baghmara,SOUTH GARO HILLS,LINGTHON N. MARAK,593,8
2013,IND,Mawshynrut,Mawshynrut,WEST KHASI HILLS,LIVINGSTONE R. MARAK,314,11
2013,UDP,North Tura,North-Tura,WEST GARO HILLS,LOCKSLEY R CH. MOMIN,218,11
2013,IND,Mawshynrut,Mawshynrut,WEST KHASI HILLS,LOWIS SANGMA,1772,5
2013,UDP,Kharkutta,Kharkutta,EAST GARO HILLS,LUDERBURG CH. MOMIN,1706,5
2013,IND,Umsning,Umsning,RI BHOI,LURSHAI WAHLANG,1844,5
2013,NCP,Mahendraganj,Mahendraganj,SOUTH WEST GARO HILLS,MAFIARA T. SANGMA,220,6
2013,IND,Rongara Siju,Rongara-Siju,SOUTH GARO HILLS,MAHAMSING M. SANGMA,630,7
2013,IND,Ampati,Ampati,SOUTH WEST GARO HILLS,MAHIRAN HAJONG,924,3
2013,IND,Tikrikilla,Tikrikilla,WEST GARO HILLS,MAJENDRA RABHA,325,9
2013,INC,South Shillong,South-Shillong,EAST KHASI HILLS,MANAS CHAUDHURI,6034,2
2013,SP,Phulbari,Phulbari,WEST GARO HILLS,MANIRUL ISLAM SARKAR,3922,4
2013,SP,Rangsakona,Rangsakona,WEST GARO HILLS,MANJIT KOCH,479,5
2013,KHNAM,Nongthymmai,Nongthymmai,EAST KHASI HILLS,MANOSHA WARJRI,207,5
2013,NPP,WilliamNagar,William-Nagar,EAST GARO HILLS,MARCUISE N MARAK,4771,3
2013,IND,Phulbari,Phulbari,WEST GARO HILLS,MARK GOERA B MARAK,4332,2
2013,HSPDP,Umroi,Umroi,RI BHOI,MARKUS LYNGDOH,61,6
2013,NCP,Mendipathar,Mendipathar,NORTH GARO HILLS,MARTHON SANGMA,5307,1
2013,LJP,Jirang,Jirang,RI BHOI,MARTIN LYNGDOH,562,4
2013,INC,Ranikor,Ranikor,SOUTH WEST KHASI HILLS,MARTIN M. DANGGO,9189,1
2013,MDP,Mawkynrew,Mawkynrew,EAST KHASI HILLS,MARTLE N. MUKHIM,5879,3
2013,IND,Nongstoin,Nongstoin,WEST KHASI HILLS,MATHIEWLY NONGREM,127,5
2013,HSPDP,Sohra,Sohra,EAST KHASI HILLS,MATTSING NONGRUM,220,5
2013,INC,East Shillong,East-Shillong,EAST KHASI HILLS,MAZEL AMPAREEN LYNGDOH,10103,1
2013,NCP,Rajabala,Rajabala,WEST GARO HILLS,MD. ISLAM HOQUE CHOUDHURY,411,8
2013,GNC,Gambegre,Gambegre,WEST GARO HILLS,MECKENSON MARAK,1248,5
2013,NPP,South Shillong,South-Shillong,EAST KHASI HILLS,MEHBOOB K. LYNGDOH,281,6
2013,UDP,Mairang,Mairang,WEST KHASI HILLS,METBAH LYNGDOH,13726,1
2013,INC,Mawshynrut,Mawshynrut,WEST KHASI HILLS,METHODIUS DKHAR,4375,2
2013,IND,Rongjeng,Rongjeng,EAST GARO HILLS,METTRINSON G MOMIN,1726,4
2013,IND,Tikrikilla,Tikrikilla,WEST GARO HILLS,MICHAEL T. SANGMA,6995,1
2013,NPP,Raliang,Raliang,WEST JAINTIA HILLS,MIHNYNGKONG SUTNGA,353,5
2013,UDP,Mowkaiaw,Mowkaiaw,WEST JAINTIA HILLS,MIHSALAN SUCHIANG,6147,3
2013,NPP,Baghmara,Baghmara,SOUTH GARO HILLS,MILAN M. SANGMA,808,6
2013,UDP,Rajabala,Rajabala,WEST GARO HILLS,MIZANUR RAHMAN KAZI,2806,4
2013,IND,Rangsakona,Rangsakona,WEST GARO HILLS,MODY M. SANGMA,230,7
2013,INC,West Shillong,West-Shillong,EAST KHASI HILLS,MOHENDRO RAPSANG,8852,2
2013,UDP,Sutnga Saipung,Sutnga-Saipung,EAST JAINTIA HILLS,MONGOL SINGH TYNGKRA,2088,3
2013,UDP,Tikrikilla,Tikrikilla,WEST GARO HILLS,MONINDRO RABHA,447,8
2013,IND,Jowai,Jowai,WEST JAINTIA HILLS,MOONLIGHT PARIAT,8817,2
2013,NCP,Umroi,Umroi,RI BHOI,MORDING DARPHANG,277,4
2013,NCP,Tikrikilla,Tikrikilla,WEST GARO HILLS,MRINAL MARAK,612,6
2013,INC,Ampati,Ampati,SOUTH WEST GARO HILLS,MUKUL SANGMA,15031,1
2013,RsSC,Rangsakona,Rangsakona,WEST GARO HILLS,MULAISWORI HAJONG,112,9
2013,IND,Mawryngkneng,Mawryngkneng,EAST KHASI HILLS,MUNU PAUL MUKTIEH,2030,5
2013,UDP,Nongstoin,Nongstoin,WEST KHASI HILLS,NASAR MARWEIN,3864,3
2013,INC,Umroi,Umroi,RI BHOI,NGAITLANG DHAR,9489,1
2013,SP,Mahendraganj,Mahendraganj,SOUTH WEST GARO HILLS,NIDHURAM HAJONG,4712,3
2013,NPP,Songsak,Songsak,EAST GARO HILLS,NIHIM D SHIRA,6697,1
2013,UDP,Mahendraganj,Mahendraganj,SOUTH WEST GARO HILLS,NIMARSON MOMIN,4721,2
2013,INC,North Tura,North-Tura,WEST GARO HILLS,NOVERFIELD R. MARAK,4713,1
2013,UDP,Khliehriat,Khliehriat,EAST JAINTIA HILLS,OBIL KYNDAIT,2926,4
2013,IND,Baghmara,Baghmara,SOUTH GARO HILLS,OLENDRO R. MARAK,1346,4
2013,NPP,Kharkutta,Kharkutta,EAST GARO HILLS,OMILLO K SANGMA,6046,2
2013,IND,Mawryngkneng,Mawryngkneng,EAST KHASI HILLS,OSAPHI S JYRWA,3287,4
2013,NCP,Baghmara,Baghmara,SOUTH GARO HILLS,PANSENG R. MARAK,716,7
2013,HSPDP,Nongpoh,Nongpoh,RI BHOI,PASKAL LYNGKHOI,381,4
2013,UDP,West Shillong,West-Shillong,EAST KHASI HILLS,PAUL LYNGDOH,9333,1
2013,IND,Mawshynrut,Mawshynrut,WEST KHASI HILLS,PELCY SNAITANG,1870,4
2013,BJP,Rajabala,Rajabala,WEST GARO HILLS,PHILLIP A. SANGMA,341,9
2013,NPP,Chokpot,Chokpot,SOUTH GARO HILLS,PHILLIPOLE D. MARAK,5073,2
2013,NPP,North Shillong,North-Shillong,EAST KHASI HILLS,PHILOMATH PASSAH,616,4
2013,INC,Mawhati,Mawhati,RI BHOI,PHINGWEL MUKTIEH,6857,3
2013,HSPDP,Rambrai Jyrngam ,Rambrai-Jyrngam,WEST KHASI HILLS,PHLASTINGWELL PANGNIANG,7625,1
2013,INC,Sohra,Sohra,EAST KHASI HILLS,PHLOUR W. KHONGJEE,6621,2
2013,BJP,Raksamgre,Raksamgre,WEST GARO HILLS,PILLARSON G. MOMIN,1342,6
2013,IND,Mawhati,Mawhati,RI BHOI,PLAS MUKHIM,508,4
2013,IND,Ranikor,Ranikor,SOUTH WEST KHASI HILLS,PRANKLIP M. MARAK,736,4
2013,UDP,Pynthorumkhrah,Pynthorumkhrah,EAST KHASI HILLS,PREDECESSOR RUMNONG,617,3
2013,INC,Pynursla,Pynursla,EAST KHASI HILLS,PRESTONE TYNSONG,12251,1
2013,IND,Gambegre,Gambegre,WEST GARO HILLS,PREWIL CH. MARAK,496,7
2013,UDP,Ranikor,Ranikor,SOUTH WEST KHASI HILLS,PROBIN K. RASWAI,8734,2
2013,IND,Pynthorumkhrah,Pynthorumkhrah,EAST KHASI HILLS,PROCESS T. SAWKMIE,8637,2
2013,SP,Selsella,Selsella,WEST GARO HILLS,PROMOD KOCH,1015,3
2013,INC,Dadenggre,Dadenggre,WEST GARO HILLS,PURNO K. SANGMA,5180,3
2013,KHNAM,Mawlai,Mawlai,EAST KHASI HILLS,PYNDAPBORTHIAW SAIBON,2178,4
2013,INC,Mawryngkneng,Mawryngkneng,EAST KHASI HILLS,PYNEHBORLANG MUKHIM,5574,2
2013,HSPDP,Mawryngkneng,Mawryngkneng,EAST KHASI HILLS,PYNIAID SING SYIEM,1204,6
2013,IND,Mawphlang,Mawphlang,EAST KHASI HILLS,PYNSHAI MANIK SYIEM,4573,3
2013,INC,Mawsynram,Mawsynram,EAST KHASI HILLS,PYNSHNGAINLANG SYIEM,6923,1
2013,INC,Mowkaiaw,Mowkaiaw,WEST JAINTIA HILLS,QUALLY SUIAM,6370,2
2013,SP,Rajabala,Rajabala,WEST GARO HILLS,RAHIBUL ISLAM SARKER,1089,6
2013,INC,Tikrikilla,Tikrikilla,WEST GARO HILLS,RAHINATH BARCHUNG,5293,2
2013,UDP,Rongjeng,Rongjeng,EAST GARO HILLS,RAJU G MOMIN,1063,6
2013,IND,Rongara Siju,Rongara-Siju,SOUTH GARO HILLS,RAKKAM A. SANGMA,3494,3
2013,IND,Gambegre,Gambegre,WEST GARO HILLS,RAKSENG R. MARAK,368,10
2013,HSPDP,Ranikor,Ranikor,SOUTH WEST KHASI HILLS,RANGSANDOR SYIEM,238,6
2013,SP,Rongjeng,Rongjeng,EAST GARO HILLS,RAPIUSH CH SANGMA,1604,5
2013,UDP,Mawkynrew,Mawkynrew,EAST KHASI HILLS,REMINGTON PYNGROPE,6513,1
2013,NPP,Mawkyrwat,Mawkyrwat,SOUTH WEST KHASI HILLS,RENIKTON LYNGDOH,4459,4
2013,UDP,Amlarem,Amlarem,WEST JAINTIA HILLS,RIANG LENON TARIANG,6067,3
2013,CPI,Sohra,Sohra,EAST KHASI HILLS,RICHARD D. SHABONG,226,4
2013,IND,Salmanpara,Salmanpara,SOUTH WEST GARO HILLS,RIGHTIOUS N. SANGMA,1789,4
2013,NPP,Raksamgre,Raksamgre,WEST GARO HILLS,RINGNON R. MARAK,3771,3
2013,IND,Mylliem,Mylliem,EAST KHASI HILLS,ROBERT F. KHARBUKI,590,4
